Manufacturer,ASIN,Description
Freewill Sports Private Limited,B071H3HLVV,"Nivia String backpacks are typically lightweight, flexible, and stretchy, and can be folded up into a small size for easy storage. They are often used as shopping bags, beach bags, or as a way to carry items when traveling or hiking. They are often lightweight, compact, and easy to fold or roll up, making them convenient to store or carry in a purse or backpack when not in use.   Nivia Strings Backpack are Designed for all types of occasions: Sports, daily use, cycling, etc.   The basic Duffle Bag has strong and durable robe with resistant to wear and tear, and is not easily fray or break. Also resist moisture, mildew, and UV rays.   The main compartment of this  bag is the heart of the bag which is spacious for all your valuables.   Strings Backpack are Highly water-Resistance finish to save inner items from water splashes   We have an excellent range of gym bags with a wide range of designs, and colors with stylish contoured designs these duffle bags are made from tough polyester with attractive patterns .These bags comes with right size to hold all your gym essentials, such as workout clothes, shoes, water bottle, and towels. Also comes with durable and sturdy materials that can withstand the wear and tear of frequent use.  Nivia String backpacks design allows it to stretch and expand, making it ideal for carrying a variety of items of different shapes and sizes."
"Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028",B07FM9BSKW,"Fur Jaden is inspired by the generation of young achievers. They aim to craft accessories with thoughtful design, good aesthetics and functionality which could accompany many confident men and women who face their urban adventures with effortless charm, cool confidence, and fearless spirit. Fur Jaden brings to you a stylish gray multi-feature back pack, that distinguishes you from the crowd. Its features include Anti-theft zipper configuration, on the go charging port, water-resistance, lightweight and spacious design.   This one backpack can serve you on different missions of your busy and adventurous life style.   The Anti-theft feature is apt to protect your gadgets and belongings from being stolen while you travel. The zipper is enclosed on the back and is hidden from the views of those who try to pickpocket without your awareness.   The backpack features multiple compartments that you may use for your laptop and other essentials. There is also a zipper enclosed compartment to let you carry maps, documents or other light and slender materials.   Use this bag all year round, and keep your laptop and other belongings safe from dust and stains or unexpected showers. This Fur Jaden backpack is made of water-resistant polymer material.   Weighing less than a kilogram, the backpack is capable of housing a laptop of up to 15.6 inches. The backpack does not impose much weight on the user.   A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock, you may connect a portable power bank with ease. You can connect a battery pack on the inside of your bag to your device on the outside.   The straps are adjustable. They are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels."
Kushal Rubber Industries,‎B09VLK27NF,
A. H. Creation,B083N53TWB,"Nylon, Inner Material: Polyester   50 Liters   Grey &Red   This grey and Grey with Red backpack by Heroz is ergonomically designed for all ages, genders and purposes. Made of PU polyester material, this bag is ideal for use as a college bag, casual backpack, laptop bag or a work bag.   The grey color with Red undertones gives a neutral look and an advantage over excess dust collection. 3 main and an extra compartment provides ample storage space for accessories, electronics, notebooks and stationery. Also comes with bottle mesh pockets on either sides.   Back Padding, Chest Strap, Earphone Cord Support, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Shoulder Strap.   The padded base, back and shoulder straps provide comfort and support for carrying heavy items for a long duration."
"Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059",B09B2581S9,
"Flab International Pvt. Ltd., Flab International Pvt. Ltd, 357E, Pace City 2, Sector 37, Gurugram, Haryana - 122001Gurugram, Haryana",B07S63LC4P,
Lookmuster,B0BS6YGKMC,"The Killer Louis backpack is a sleek, light bag with a young-at-heart design that's perfect for school or daily travel. Made for daily use, this bag is not oversized and is meant to carry your essentials. With its trendy looks and easy to organize design, this bag is cute and suave as well as useful, to help you complete your look. Quietly stylish and durable, it features multiple compartments to help organize your stuff.   With a slim, sleek and compact design you will love how this backpack can look small and compact even though it has 4 spacious compartments to store your gadgets, books, keys and even a water bottle!   You can take along your gadgets with you to office, college or anywhere with this backpack, as it has got allotted storage space that fits a laptop of up-to 16 inches.   Designed with great quality materials that are waterproof, tough and durable, this backpack is like no other as it features a lightweight design that is easy to maintain as well.   Polyester is widely popular on account of its durability and toughness. Made of fibres that do not wear down quickly even with daily use and it is resistant to wrinkling and shrinking. The light weight feel of the material also makes it a very in-demand material for backpacks.   Be it those stormy rainy season, scorching heat, or freezing winters, this bag can endure as it is crafted, designed and made with quality and tough materials.   Featuring 4 compartments, the main compartment and a front compartment to store smaller objects/pens/thin notebooks etc. It also includes a laptop sleeve with a Velcro strap for safety.   The back straps of the backpack are padded to give the user maximum support and it made with anti-sweat fabric, giving you the comfort throughout the day."
"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India",B0BWNCV31F,
"Texcoco Enterprices, 9958166528",B09CV24TMK,"Registered by company that professional in design and produce laptop sleeve, case, bag, briefcase, backpack and other related bags over 16 years. We are aimed to offer customers high quality products with competitive prices under rich factory experience and exquisite craftsmanship.   External:16.9 x 13.4 x 2.3 inch / 43 x 34 x 6 cm (L x W x H);   Internal:16.3 x 12.7 x 1.9 inch / 41.5 x 32.5 x 5 cm (L x W x H);   The bag protects 360 degrees from vibration, shock, dust, fingerprints and other damage without reinforcing the laptop computer.   As a Everyday backpack, Work briefcase, Study bookbag, Business laptop bag for men women adult teens or daily use at anywhere.   Suitable for a variety of occasions, perfects for weekend getaways, shopping, office work, school, college, cafe, business traveling and other outdoor activities."
"Uber Fashion Merchandise Pvt. Ltd., Uber Fashion Merchandise Pvt. Ltd. No. 17G/46-3 & 17G/46-3-1,1st& 2nd Floor, Industrial Suburb,2ndStage, Yeshwantpur, Next to Sapna Books on MEI road,Bangalore  560 022. INDIA Tel: 9066161590",B0862LXJYT,
ASUS,B0895ZZHKK,
"Li-Ning (China) Sports Goods Co., Ltd., No. 8, Tongzhou District, Beijing, PRC",B09VDQDXWN,
Texcoco Enterprices,B09321GJXZ,"Registered by company that professional in design and produce laptop sleeve, case, bag, briefcase, backpack and other related bags over 16 years. We are aimed to offer customers high quality products with competitive prices under rich factory experience and exquisite craftsmanship.   External:16.9 x 13.4 x 2.3 inch / 43 x 34 x 6 cm (L x W x H);   Internal:16.3 x 12.7 x 1.9 inch / 41.5 x 32.5 x 5 cm (L x W x H);   The laptop briefcase equipped with a removable shoulder strap and a soft carry handle; you can easily switch the carry way you want. The top soft handle, make it more comfortable to carry and use for a long term.   The laptop briefcase bag comes with a flat pass-through strap along the back, which makes it quite easy to fix the laptop bag on the trolley of your luggage, making your travel and business trip more convenient   Suitable for school, work, outdoor activities, vacation and short-term travel etc.  It provides a separate laptop compartment fit up to 15.6inch and extra-large space for documents, notebook, charger etc.   Considerate design is the back trolley suitcase belt for ease use during business trip. It is really convenient for your happy journey to any where.   Water-resistant and scratch-resistant fabric.As a Everyday backpack, Work briefcase, Study bookbag, Business laptop bag for men women adult teens or daily use at anywhere.   Suitable for a variety of occasions, perfects for weekend getaways, shopping, office work, school, college, cafe, business traveling meeting and other outdoor activities."
BROGBUS,B09QLD9GJY,"BROGBUS Leather Men Bag Casual Business Messenger Bag for Cross body Bag Male Shoulder Bags Leather Sling Messenger Bag (Brown)   Product Type: Cross body messenger travel   Product description: BROGBUS Perfect messenger bag/shoulder bag/cross body bag/handbag/ hiking or travelling Bag, suitable for office, school, outdoor, business and other occasions. Freely adjustable shoulder strap, you can adjust it according to your height and comfort requirements. The stitching on this product is nice and very strong."
"Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059",B09B26MB5M,
"Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028",B07MXM5M99,"This bag efficiently   distributes the weight of your internally placed belongings in a manner that   reduces the strain upon your back and shoulders. It makes the bag easier to   carry.   This bag   has a separate compartment for the storage of your laptop. It can store a   large sized laptop up to 15.6 inches. It keeps the laptop safe and secured.   This laptop   bag is suitable for college going students, and also for office going   individuals. It is an efficient and elegant accessory that conveniently   stores your day-to-day belongings.   This   laptop bag is equipped with a USB charging port hole within it. This makes it   convenient for you to charge your mobile and other electronic devices on the   go. It is easy to use.   This bag   has multiple pockets within it that enable you to keep your belongings in a compartmentalised   manner. This makes it easier for you to locate your essentials, and keep them   safe.   Though   this backpack is abundantly spacious and accommodating in nature, it is still   compact and lightweight. It is also durable and resilient. It is an ideal   storage accessory."
"Li-Ning (China) Sports Goods Co., Ltd., No. 8, Tongzhou District, Beijing, PRC",‎B09VDQRFRV,
"FUR JADEN, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002",B094DGX84G,"This sophisticated laptop backpack is a versatile backpack that safely stores your day-to-day necessities. It facilitates convenient portability of your laptop and other belongings.   The material used to fabricate this backpack is water resistant in nature. This complements the utility of the bag as it offers extra protection to your laptop and belongings within. However we recommend using a rain cover for 100% protection as zips are never fully water proof.   This backpack has a range of uses. It can be utilised on a day-to-day basis by college students or office employees, and it can even be utilised for travel purposes, or outdoor   activities. It is a dynamic bag.   This laptop bag is equipped with a USB charging port that enables you to charge your phone on the go. Now no need to carry your power banks in your hand or pockets.   This bag has numerous pockets that allow you to store your belongings in a compartmentalised manner. These pockets are easy to access, and have a depth of storage capacity.   This bag is further embedded with padded and breathable shoulder straps. These straps effectively reduce the strain upon your shoulders and back as you carry this bag around."
"Gear, Gear Merchandise Pvt Ltd, E/12 West Chowbaga Gulshan Colony, Kolkata-700100",B097KGL2M5,
Wildcraft,B07FC4D9B5,"The Wildcraft backpack is a sleek, light bag with a young-at-heart design that's perfect for school or daily travel. Made for daily use, this bag is not oversized and is meant to carry your essentials. With its trendy looks and easy to organize design, this bag is cute and suave as well as useful, to help you complete your look. Quietly stylish and durable, it features multiple compartments to help organize your stuff.   Featuring padded handles and shoulder straps, zipper compartments and bottle holders, this bag comes with everything you need to tackle your daily commute.   This bag is designed to fit upto 15 inch laptops. It features a side mesh pocket for water bottle, a padded back  system for carrying comfort, webbing haul loop and an internal organizer.   The fibre material is widely popular on account of its durability and toughness. Made of fibres that do not wear down quickly even with daily use and it is resistant to wrinkling and shrinking. The light weight feel of the material also makes it a very in-demand material for backpacks."
Amazing Bags,B09VCLZ3K4,"We(Half Moon) are sellers and manufacturers of various types of Customized Bags. Our product array comprises Backpacks, Sports Bags, Duffel Bags, Drawstring Bags, etc. These bags accomplish the customer's specifications and requirements. We provide these bags in numerous colors, designs, shapes, shades, patterns, etc. Our bags are known for lightweight, easy carrying, versatile usage, and durable nature.   This trendy backpack comes with multiple pockets and compartments and is very spacious and can accommodate all your stuff and will still be left with more space. With all features like padded handle, padded laptop compartment, internal organiser, reflector logo, bottle pockets, rain/dust cover etc, there is nothing that this backpack does not offer.   This MADE IN INDIA Product features 2 large zippered compartments, 2 water bottle /umbrella pockets, Rain cover, Padded Laptop Compartment with 360° Protection, Top padded Handle for comfort, Reflective Stickers & Brand Logo for safety while travelling at night. Its ergonomics comfortable design makes you forget the load you are carrying,   This laptop backpack comes with two spacious zippered compartments which can accommodate your notebooks and other essentials with ease. This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability.   This backpack features an Internal Organiser that is small pockets inside the front compartment for holding pens, ID cards, etc. These pockets are very useful in organizing your small day-to-day items.   This backpack includes a separate rain/dust cover which can be very handy. It keeps your valuables safe and secure from rain and dust and keeps the backpack neat and clean for a longer period of time.   Half Moon is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this bag is Made in India by Indians using Indian materials.   Half Moon offers high quality bags at lowest prices. We offers bags directly from factory to the customer to provide the bag at lowest prices possible."
EUME,B085GDV195,
"TRAWOC, TRAWOC Gears, Customer care: mail@trawoc.com, Whatsapp: 86067 96695",B07XY6BFXJ,"A convenient side pocket for your water reservoir allowing for easy access and stable handling.   Reflective strips for safe riding at night which reflects when light falls on it.   A spacious shoe compartment at the bottom which can hold a pair of shoes during your travel.   A perfect 55 Liter travel bag for day trips, travel, day hikes, cycling, camping, mountaineering etc.  Our bag is made of lightweight PU coated polyester fabric to hold up all your essentials really well.   TRAWOC presents 55 liter backpack bag  with spacious shoe compartment which can hold a pair of shoes.  A laptop sleeve present inside the main compartment where you can store laptop up to size 15.5 inches.   This backpack has water-proof resistant material, padded mesh back panel, ergonomic design and various compartments   Comfort is by far the most important factor in choosing a backpack. Backpacks with a comfortable back panel, padded shoulder   straps and hip belt distribute the weight of the pack across the body. Deep and densely padded shoulder straps with hip-belt promote air circulation to your back and shoulders."
AB Amazing Bags,B08PSX1LN9,
"Rushi Enterprise, Rushi Enterprise, Jeshinjpara, Valapra Gujarat Amreli-365601 Mo- 9714228584",B07H193V57,"Pump up your style quotient a notch higher as you step out carrying this Dzert's Casual Backpack. It has a vibrant and stylish design, along with the added benefit of spacious interiors. Made from polyester, this backpack features a blue colour along with the brand name in front.   The bag has spacious compartments for carrying your belongings separately. There are also external pockets for carrying a bottle and other essentials.   This backpack comes with padded shoulder straps which can be adjusted according to your size for a customized fit. Furthermore, the broad straps distribute the weight of the backpack evenly across your shoulders.   his trendy and stylish backpack from Pole Star comes with a bottle pocket which can comfortably accommodate your bottle in a secure manner. Stay active all day and travel comfortably with the help of this ergonomically designed stylish backpack.   This amazing travel buddy comes with an easy to use loop handle at the top. The top Padded handle provides a secure hold while you pick up or move the backpack.   This casual backpack comes with two spacious zippered compartments which can accommodate your notebooks & Laptop and other essentials with ease. Store your umbrella, notebooks and water bottle in this spacious bag and move around comfortably all day. college to picnic, to a casual outing to camping and short trips, this bag can be your great companion everywhere. Pack your bags and ready, steady go."
Freewill Sports Private Limited,B07222KX3S,"Nivia Deflate Round bag is a classic gym bag choice, has a large compartment, front pocket and two pockets. Made with high quality accessories and zipper, this bag has adjustable handles as well as shoulder strap for better comfort, it will keep your stuff organized and carry it comfortably through the day.   The top grab handles is positioned in a way that allows you to quickly grab the bag and go, without having to fumble around for the handles.   The basic Duffle Bag has strong and durable robe with resistant to wear and tear, and is not easily fray or break. Also resist moisture, mildew, and UV rays.   The main compartment of this duffle bag is the heart of the bag and secured with a reliable zipper to ensure the safety of your belongings.   The overall design of the Deflate Round Round bag is made of water-resistant polyester material , with no gaps or holes that can allow water to seep in.   We have an excellent range of gym bags with a wide range of designs, and colors with stylish contoured designs these duffle bags are made from tough polyester with attractive patterns .These bags comes with right size to hold all your gym essentials, such as workout clothes, shoes, water bottle, and towels. Also comes with durable and sturdy materials that can withstand the wear and tear of frequent use."
Motherly,B07DMKJJB4,
Korrun India Pvt. Ltd,B088XG77KN,"It's an edgy mix of fashionable details and practical usability. This backpack is made to accompany you on any adventure   With a capacity of 12 litres, this backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more.   The multi coated, water-repellent 600D polyester fabric design keeps your belongings safe whether you're on a short excursion or bustling through a commute.   The Mi Step Out Backpack is available in 4 trendy colors. The array of vibrant colors allow you to make your pick and stand out wherever you go.   Fully equipped with a water repellent exterior, contra zippers, reflective pullers and adjustable shoulder straps, this backpack is ideal companion for a hands-free day   Weighing just 200g, this backpack is easy to carry whether you're toting it through the airport, hitting the gym, exploring a new city or using it as a carrier for your books."
Freewill Sports Private Limited,B071H3HLVV,"Nivia String backpacks are typically lightweight, flexible, and stretchy, and can be folded up into a small size for easy storage. They are often used as shopping bags, beach bags, or as a way to carry items when traveling or hiking. They are often lightweight, compact, and easy to fold or roll up, making them convenient to store or carry in a purse or backpack when not in use.   Nivia Strings Backpack are Designed for all types of occasions: Sports, daily use, cycling, etc.   The basic Duffle Bag has strong and durable robe with resistant to wear and tear, and is not easily fray or break. Also resist moisture, mildew, and UV rays.   The main compartment of this  bag is the heart of the bag which is spacious for all your valuables.   Strings Backpack are Highly water-Resistance finish to save inner items from water splashes   We have an excellent range of gym bags with a wide range of designs, and colors with stylish contoured designs these duffle bags are made from tough polyester with attractive patterns .These bags comes with right size to hold all your gym essentials, such as workout clothes, shoes, water bottle, and towels. Also comes with durable and sturdy materials that can withstand the wear and tear of frequent use.  Nivia String backpacks design allows it to stretch and expand, making it ideal for carrying a variety of items of different shapes and sizes."
"Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028",B07FM9BSKW,"Fur Jaden is inspired by the generation of young achievers. They aim to craft accessories with thoughtful design, good aesthetics and functionality which could accompany many confident men and women who face their urban adventures with effortless charm, cool confidence, and fearless spirit. Fur Jaden brings to you a stylish gray multi-feature back pack, that distinguishes you from the crowd. Its features include Anti-theft zipper configuration, on the go charging port, water-resistance, lightweight and spacious design.   This one backpack can serve you on different missions of your busy and adventurous life style.   The Anti-theft feature is apt to protect your gadgets and belongings from being stolen while you travel. The zipper is enclosed on the back and is hidden from the views of those who try to pickpocket without your awareness.   The backpack features multiple compartments that you may use for your laptop and other essentials. There is also a zipper enclosed compartment to let you carry maps, documents or other light and slender materials.   Use this bag all year round, and keep your laptop and other belongings safe from dust and stains or unexpected showers. This Fur Jaden backpack is made of water-resistant polymer material.   Weighing less than a kilogram, the backpack is capable of housing a laptop of up to 15.6 inches. The backpack does not impose much weight on the user.   A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock, you may connect a portable power bank with ease. You can connect a battery pack on the inside of your bag to your device on the outside.   The straps are adjustable. They are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels."
Kushal Rubber Industries,‎B09VLK27NF,
A. H. Creation,B083N53TWB,"Nylon, Inner Material: Polyester   50 Liters   Grey &Red   This grey and Grey with Red backpack by Heroz is ergonomically designed for all ages, genders and purposes. Made of PU polyester material, this bag is ideal for use as a college bag, casual backpack, laptop bag or a work bag.   The grey color with Red undertones gives a neutral look and an advantage over excess dust collection. 3 main and an extra compartment provides ample storage space for accessories, electronics, notebooks and stationery. Also comes with bottle mesh pockets on either sides.   Back Padding, Chest Strap, Earphone Cord Support, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Shoulder Strap.   The padded base, back and shoulder straps provide comfort and support for carrying heavy items for a long duration."
"Lavie, Bagzone Lifestyle Pvt Ltd",B08JDG1NKX,
"Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059",B09B2581S9,
"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India",B0BR1D4SL1,
"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India",B0BR1C59R8,
"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India",B0BWNCV31F,
Amazing Bags,B09VCLZ3K4,"We(Half Moon) are sellers and manufacturers of various types of Customized Bags. Our product array comprises Backpacks, Sports Bags, Duffel Bags, Drawstring Bags, etc. These bags accomplish the customer's specifications and requirements. We provide these bags in numerous colors, designs, shapes, shades, patterns, etc. Our bags are known for lightweight, easy carrying, versatile usage, and durable nature.   This trendy backpack comes with multiple pockets and compartments and is very spacious and can accommodate all your stuff and will still be left with more space. With all features like padded handle, padded laptop compartment, internal organiser, reflector logo, bottle pockets, rain/dust cover etc, there is nothing that this backpack does not offer.   This MADE IN INDIA Product features 2 large zippered compartments, 2 water bottle /umbrella pockets, Rain cover, Padded Laptop Compartment with 360° Protection, Top padded Handle for comfort, Reflective Stickers & Brand Logo for safety while travelling at night. Its ergonomics comfortable design makes you forget the load you are carrying,   This laptop backpack comes with two spacious zippered compartments which can accommodate your notebooks and other essentials with ease. This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability.   This backpack features an Internal Organiser that is small pockets inside the front compartment for holding pens, ID cards, etc. These pockets are very useful in organizing your small day-to-day items.   This backpack includes a separate rain/dust cover which can be very handy. It keeps your valuables safe and secure from rain and dust and keeps the backpack neat and clean for a longer period of time.   Half Moon is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this bag is Made in India by Indians using Indian materials.   Half Moon offers high quality bags at lowest prices. We offers bags directly from factory to the customer to provide the bag at lowest prices possible."
"Lenovo, #43/3, Maruthi Mandira, Arisina Kunta, Next to Holiday Plam Hotel, Nelamangala, Bangalore 562123, India",B08R7S55H4,
"Lenovo, Ferns Icon, Level, 2, Outer Ring Rd, Doddanekundi, Mahadevapura, Bengaluru, Karnataka 560155",B075Y6SRMG,"Perfect for daily commuters, college students and all types of travelers   Features a durable, water-repellent snow yarn polyester fabric and streamlined design with a padded interior to protect your laptop, Notebook and other important stuff   In addition to the laptop compartment, there are separate pockets for mobile devices, business cards and other daily tools in quick-access compartments. The main compartment offers extra space for magazines, Notepad and other laptop accessories"
Red Lemon,B07XYY2FW4,"Perfectly designed laptop backpack presented by Red Lemon, is a 15.6-17 inches spacious laptop backpack with multiple pockets, perfect for traveling and for regular use.   Air cushion on shoulder provide support during excess weight increase and reduces shoulder burden by 55%.   Back breathable air cushion support spinal and keeps your posture straight   USB Charging Port makes it easier for you to charge anytime, anywhere. And to enjoy Music through Audio Cable outlet.   Massive 45L capacity multipurpose well organised & Spacious Backpack with huge compartments to carry your essentials   Helps you to pass the Security check quickly at the checkpoint by opening the Backpack to 180 Degree without affecting the placement of other personal items   Reinforced Grab Handles, Excellent Quality Buckles with Heavily padded adjustable Shoulder Strap & Stable Quality double Metal slider, durable & easy to close   Trolly Strap on the Back allows you to Slip the backpack onto the Handle of your Luggage to wheel through the Airport"
Cosmus,B01FVQLLU0,"Cosmus gives solid and easily cushioned shoulder lashes causes the pack to feel lighter and more breathable. While giving agreeable help to your back and shoulder.   Cosmus understands your needs, that’s why we have 2 Large Compartments + 2 Easy access front Pocket with organizer section & 2 mesh side pocket   Cosmus Bags deeply looks into all your needs, outer mesh pockets for water bottle , umbrella etc . A bag pack for all men & women.   Cosmus bags uses the finest materials, hence durable PU fabric with Water & Heat resistant coating outside while the inner Fabric has strong PU coating for durability and to keep it light weighted inside.   Cosmus bags have kept the safety a head always, so Well cushioned Laptop compartment for upto 15.6 inch Laptop.   Cosmus Bags crafts bag inspired from you, hence the material used are as light as feather."
COSMUSBAGS PVT.LTD.,B08D7DTWLF,"With built in USB charging port gives convenience to charge your phone while on move. Please note: power bank not included, USB charging port only offers an easy access to charge with your own power bank.   One spacious packing compartment for daily necessities which includes One padded laptop sleeve to hold 15.6 Inch Laptop along with many small organizer pockets.   The two sided pocket comes with ample space and  water bottle compartment   Comfortable airflow back design with thick ventilated padding, gives you  maximum back support. Breathable and adjustable shoulder straps relieve  the stress of shoulder. Elegant top handle for a long time carry on.   Crafted with the finest materials this bag is designed for   keeping  things light without compromising on comfort, keeping it    light-weight   Stylish and Durable Spacious Laptop Backpack for Travel Cosmus Vogue 15.6 inch laptop backpack is made of High grade water     resistance PU   coated polyester material that gives it strength and  makes    it  durable  for long-term use.   COSMUS Vogue 15.6 inches Business Laptop Backpack is the  sleek and lightweight solution for your Laptop Bags needs that\'s  perfectly suited to your daily life   dimensions: 18.5 x 13 x 6.5 inches : 47cm x 33cm x 17cm : Capacity 26 Litres"
Korrun India Pvt. Lts,B0862V2GKH,"For all your essentials, while the streamlined design allows you to traverse crowded streets with ease as you rush for your business meeting.   The backpack features extra padded shoulder straps, padded mesh back and cushioned laptop support for optimal comfort and breathability.   The backpack strikes a perfect balance between fashion and functionality. With the contemporary design and spacious compartments, this is the ultimate work companion you can carry everyday, everywhere.   To protect your essentials in all weather conditions.   The rear compartment of the backpack contains a padded laptop compartment, pocket for your tab, a zipper compartment for your cables that avoids tangling, and an extra compartment for your books or scribble pad.   External elastic pocket to house any size water bottle."
Bagneeds,B0855F8174,"Made from rich quality Synthetic leather with durable polyester lining, it comes with a removable & adjustable shoulder strap. The bag has a  classy distressed Vintage inspired look which never goes out of style.   The laptop padding fits 15.6 inch laptop while the compartments and front and interior pockets helps organize for all your needs making it suitable for a short business trip or a quick weekend getaway.   With a multipurpose use and a classy look, this bag is a great gift idea for Fathers Day ,Mother’s Day,Birthdays , Valentines Day , Festivals, Graduation, or any occasion which calls for a gift ."
"Akshaya Rubbers, Hebbal Industrial Area, Mysore, 7022982998",B08NHL52MK,"Lunar's Laptop Travel Bag : A Spacious and durable laptop backpack for travel, casual usage, school / college / office and travel. Size: 21 inch X 14 inch X 10.5 inch. Capacity: 50 liters. This travel bagpack is made of high grade water resistant polyester material that gives it strength and durable for long-term use.  This “MAKE IN INDIA” Product features 2 large zippered compartments, padded laptop sleeve for upto 17.3"" laptops, internal organiser, 2 water bottle /umbrella pockets, padded handle, inbuilt raincover, chest pocket, adjustable strap, hip belt quick haul grab loop for comfort, 3D air ventilated back panel for preventing sweat, heavy duty zippers and sliders, and adjustable straps. Ideal bag for boys, girls, men and women"
"EUME, B-1 Nandkishore Industrial Estate off, Mahakali Caves Road, Andheri East, Mumbai-400093, Designed By EUME Lifetsyle Pvt Ltd, Bldg No.193, Indian Corporation, Dapode Road, Mankoli Naka, BHIWANDI MAHARASHTRA India 421302 Customer Care : 9321366003",B08R58K6QX,
EUME,B085GDV195,
"Akshaya Rubbers, Hebbal Industrial Area, Mysore, 7022982998",B08YZ5XY31,
VEZELA,B01MS1GRDW,"Inner: Polyester High-end Hardware   The tote bag (the largest one) has 3 interior pockets, a center zip compartment with two open areas on each side and an exterior zip pocket, it can be able to organize your items in it nicely   The crossbody bag (the mid size one) comes with a strap to be worn as a cross body bag. It is convenient when you only want a few items. you can use it for keys, phones, wallet, and your shopping list.   The smallest bag can be used for easy access items such as lip balm and gum and can transfer it between the two larger bags. Handbags, diwali gift   Golden 1 - With beautiful Star Pattern   golden 2 - With beautiful Chain Pattern"
"Baggit India Pvt Ltd, Baggit India Pvt Ltd",B0BNTPMT2G,
Wooum,B0993Q72WD,"Spacious Storage   The laptop bag contains 4 Zip Pocket storage compartments for your iPad, tablet, mobile, diary, money, wallet, and other electronic gadget accessories and 1 Velcro compartment for small accessories.   Superior Material   The bag is made with superior quality fabric which not only looks good but also offers you utmost comfort.   Suitable For   The laptop bag is made suitable for men & women both which can be used on a daily basis   The laptop bag contains 4 Zip Pocket storage compartments for your iPad, tablet, mobile, diary, money, wallet, and other electronic gadget accessories and 1 Velcro compartment for small accessories.   The bag is made with superior quality fabric which not only looks good but also offers you utmost comfort.   The laptop bag is made suitable for men & women both which can be used on a daily basis."
,B0BXL5B1J4,
"POLESTAR, JAI AMBAY ENTERPRISES ,03AAFFJ0421M1ZQ, B -29 ,Sports & Surgical complex,Kapurthala Road, Jalandhar Punjab 140021 India . +91 9914112308 , polestarbags@gmail.com",B08X2KR6T9,"Made with strong, water resistant Polyester fabric for a lightweight and durable finish. Our polestar backpack is designed thoughtfully for your perfect on the go lifestyle.   Made for maximum Comfort, it has padded breathable mesh back and adjustable straps. S-curved Ergo-Grip straps that distribute weight evenly over your shoulders and back.   We aim to provide optimal organisation with 3 main compartments, premium zippers, 2 front pocketS and 2 side water bottle pockets along with easy to carry top Loop.   Premium quality zips that are durable for smooth operations.   Elasticated Strap Lock secures your laptop or belongings in place.   Inner Pocket allows for easy organisation of your things."
